Date,Forecasted
2025-03-01,391.2205
2025-03-02,377.75565
2025-03-03,371.3953
2025-03-04,364.96478
2025-03-05,364.48788
2025-03-06,366.74335
2025-03-07,368.09967
2025-03-08,370.3875
2025-03-09,369.54117
2025-03-10,369.46298
2025-03-11,369.01218
2025-03-12,369.038
2025-03-13,369.69467
2025-03-14,368.0382
2025-03-15,367.44586
2025-03-16,368.55646
2025-03-17,368.09726
2025-03-18,367.91806
2025-03-19,365.96826
2025-03-20,368.54562
2025-03-21,369.5991
2025-03-22,369.84537
2025-03-23,369.13882
2025-03-24,370.0743
2025-03-25,370.30045
2025-03-26,371.2055
2025-03-27,370.50262
2025-03-28,370.85617
2025-03-29,375.65042
2025-03-30,374.84863
