Model,Mean MAPE_close,Mean DirecAccuracy_close (%),Mean MAPE_daily,Mean DirecAccuracy_daily (%)
last_price,1.3568619640347004,48.80250685286439,3118179413.009038,48.80250685286439
linear,1.8582261334946202,49.66266010800026,1321855142.9212794,49.66266010800026
mean,2.3189253925017224,48.96877479513828,1385948901.432702,48.96877479513828
quadratic,2.03313796493329,49.868595896133975,4806086548.663335,49.868595896133975
lstm,7.9765166633583595,50.32453006719801,531653216.95046306,50.32453006719801
rf,20.85196585085638,28.18020384150904,112803262.741395,28.18020384150904
rf_tuned,20.989036751924107,29.609056825437417,94502669.88373516,29.609056825437417
ridge,2.79996824791673,49.151233770870355,664926330.4914442,49.151233770870355
xgboost,22.732080533366474,31.615711933954287,59750036.05600487,31.615711933954287
xgboost_tuned,22.23691193627258,11.986591254270609,110872863.91097392,11.986591254270609
